region,unemployed,employment,unemployment rate
Bocambia,4463,142854,3
Santa rosa,,,2.8
okaloosa,,,2.5
walton,,,2.7
Holmes,,,3.8
washington,,,4.1
jackson,,,4.3
bay,,,6.3
gulf,,,8.6
leon,,,2.9
jerfferson,,,3.3
liberty,,,3.7
franklin,,,5.1
,,Northwest,4.084615385
madison,,,3.5
hamilton,,,3.7
suwanee,,,3.2
taylor,,,3.3
dixie,,,3.5
clay,,,2.8
levy,,,3.3
alachua,,,2.7
flagler,,,3.6
volusa,,,3.2
,,Northeast,3.28
highlands,,,4.3
hardee,,,4.1
polk,,,3.4
lake,,,3
maron,,,3.7
sumter,,,4.6
citrus,,,4.5
seminole,,,2.6
orange,,,2.6
osceola,,,3
,,Orange,3.58
pasco,,,3.3
hillsborough,,,2.9
manatee,,,2.9
sarasota,,,2.9
desoto,,,3.4
charloote,,,3.5
glades,,,3.6
lee,,,2.9
hendry,,,
collier,,,3
,,Suncoast,3.155555556
indian river,,,3.6
okeechobee,,,3
st. lucie,,,3.7
martin,,,3
palm beach,,,3.3
broward,,,2.8
,,,3.233333333
monroe,,,2.4
miami-dade,,,3.2
,,,2.8
